those are checkers , DET VERB NOUN
with the pen , ADP DET NOUN
do not hit paul on the head , VERB ADV VERB NOUN ADP DET NOUN
i did not know you knew these in the book , PRON VERB ADV VERB PRON VERB DET ADP DET NOUN
do not pull the microphone any more , VERB ADV VERB DET NOUN DET ADJ
i think that does not go there , PRON VERB PRON VERB ADV VERB PRT
write your name , VERB DET NOUN
we rode in a taxi and you sat in a chair , PRON VERB ADP DET NOUN CONJ PRON VERB ADP DET NOUN
on the board , ADP DET NOUN
that looks a little like lettuce , PRON VERB DET ADJ ADP NOUN
i did not say that adam , PRON VERB ADV VERB DET NOUN
do not step on paul toesies , VERB ADV VERB ADP NOUN NOUN
that was the bean bag and the boat too , PRON VERB DET ADJ NOUN CONJ DET NOUN ADV
that is different , PRON VERB ADJ
careful adam you do not want it to break it , ADJ NOUN PRON VERB ADV VERB PRON PRT VERB PRON
the cabbage does , DET NOUN VERB
this goes down in there and then you close it , DET VERB PRT ADP ADV CONJ ADV PRON VERB PRON
because it is in too far , ADP PRON VERB ADP ADV ADV
you do not have any milk on that truck , PRON VERB ADV VERB DET NOUN ADP DET NOUN
i have finished my lunch , PRON VERB VERB DET NOUN
the boat was back there , DET NOUN VERB ADV ADV
that might hurt him , PRON VERB VERB PRON
look at all the nice things , VERB ADP PRT DET ADJ NOUN
this is the letter h , DET VERB DET NOUN NOUN
the truck you are driving , DET NOUN PRON VERB VERB
here is a piece that is not broken , ADV VERB DET NOUN PRON VERB ADV VERB
you are a silly silly boy , PRON VERB DET ADV ADJ NOUN
you have_to put one up before you can put the other down , PRON ADV VERB NUM PRT ADP PRON VERB VERB DET ADJ PRT
that is all , PRON VERB PRT
if you wish to , ADP PRON VERB PRT
you need some more track , PRON VERB DET ADJ NOUN
your tongue hurts , DET NOUN NOUN
it wo not stay , PRON VERB ADV VERB
i am giving these to paul , PRON VERB VERB DET ADP NOUN
two seals one strong man , NUM NOUN NUM ADJ NOUN
we are playing a little game , PRON VERB VERB DET ADJ NOUN
here is a piece , ADV VERB DET NOUN
he is just laughing , PRON VERB ADV VERB
one bareback rider , NUM NOUN NOUN
i do not know , PRON VERB ADV VERB
he is happy , PRON VERB ADJ
you find out , PRON VERB PRT
and a train , CONJ DET NOUN
stay on top of the ball game , VERB ADP NOUN ADP DET NOUN NOUN
a circus train , DET NOUN NOUN
he has blocks too you know , PRON VERB NOUN ADV PRON VERB
he is probably frightened of people , PRON VERB ADV VERB ADP NOUN
you put the string in here , PRON VERB DET NOUN ADP ADV
it is a fruit basket , PRON VERB DET NOUN NOUN
put it under the bridge , VERB PRON ADP DET NOUN
something that a king wears on his head , NOUN ADP DET NOUN NOUN ADP DET NOUN
let him have one block while you build your building , VERB PRON VERB NUM NOUN ADP PRON VERB DET NOUN
he is a hungry baby this morning , PRON VERB DET ADJ NOUN DET NOUN
it needs another piece of track , PRON VERB DET NOUN ADP NOUN
a green stamp basket , DET ADJ NOUN NOUN
you are not supposed to turn that , PRON VERB ADV VERB PRT VERB PRON
it is not balanced like that , PRON VERB ADV VERB ADP DET
that is very good , PRON VERB ADV ADJ
i do not know , PRON VERB ADV VERB
she showed you one time , PRON VERB PRON NUM NOUN
that looks like a hen , DET NOUN ADP DET NOUN
i am afraid you are going to break it , PRON VERB ADJ PRON VERB VERB PRT VERB PRON
i want some , PRON VERB DET
he is he is finished , PRON VERB PRON VERB VERB
cackle cackle cackle cackle , X X X X
he did not mean to hurt you , PRON VERB ADV VERB PRT VERB PRON
paul was watching and his head was going up and down , NOUN VERB VERB CONJ DET NOUN VERB VERB PRT CONJ PRT
this is my building over here , DET VERB DET NOUN PRT ADV
i am too big to jump through that hole , PRON VERB ADV ADJ PRT VERB ADP DET NOUN
i had like four quarts of milk , PRON VERB ADP NUM NOUN ADP NOUN
this is one of robin favorites , DET VERB NUM ADP NOUN NOUN
paul look at the telephones , NOUN VERB ADP DET NOUN
d is for dolls , PRT VERB ADP NOUN
i have not seen shadow_gay in a long time , PRON VERB ADV VERB NOUN ADP DET ADJ NOUN
green stamp basket , ADJ NOUN NOUN
e is for eggs , PRT VERB ADP NOUN
brown and white , ADJ CONJ ADJ
look at that egg , VERB ADP DET NOUN
four quarts of milk and two pounds of butter , NUM NOUN ADP NOUN CONJ NUM NOUN ADP NOUN
because they were painted that way or made that color , ADP PRON VERB VERB DET NOUN CONJ VERB DET NOUN
the hole is too small , DET NOUN VERB ADV ADJ
i did not knock mine down , PRON VERB ADV VERB PRON PRT
that one does , DET NOUN VERB
that is a lumber company truck , PRON VERB DET NOUN NOUN NOUN
see it is still up , VERB PRON VERB ADV PRT
it is a hill , PRON VERB DET NOUN
so i see , ADP PRON VERB
tuner for a violin , NOUN ADP DET NOUN
now pull it , ADV VERB PRON
adam you look so tall , NOUN PRON VERB ADV ADJ
i thought you said something about italy , PRON VERB PRON VERB NOUN ADP NOUN
i did not bring one , PRON VERB ADV VERB NUM
you will cut your little fingers there , PRON VERB VERB DET ADJ NOUN PRT
perhaps it is a basketball instead of a football , ADV PRON VERB DET NOUN ADV ADP DET NOUN
and your bunny , CONJ DET NOUN
he is just a little baby , PRON VERB ADV DET ADJ NOUN
i do not know , PRON VERB ADV VERB
maybe he is surprised , ADV PRON VERB VERB
i am out , PRON VERB PRT
that is his hair , PRON VERB DET NOUN
watch the propeller paul , VERB DET NOUN NOUN
a puppet on miss jean show , DET NOUN ADP NOUN NOUN VERB
f is for flowers and frog , PRT VERB ADP NOUN CONJ NOUN
i am out , PRON VERB PRT
g is for giraffe and girls , PRT VERB ADP NOUN CONJ NOUN
i only have two , PRON ADV VERB NUM
i did not say i do not have it , PRON VERB ADV VERB PRON VERB ADV VERB PRON
that is his hair , PRON VERB DET NOUN
i said four quarts of milk , PRON VERB NUM NOUN ADP NOUN
i do not think it is sharp , PRON VERB ADV VERB PRON VERB ADJ
paul can you say airplane , NOUN VERB PRON VERB NOUN
you have_to ask ursula , PRON ADV VERB NOUN
adam is playing with the airplane , NOUN VERB VERB ADP DET NOUN
paul adam wants to know if you can say airplane , NOUN NOUN VERB PRT VERB ADP PRON VERB VERB NOUN
you put them anywhere you want to on the other side , PRON VERB PRON ADV PRON VERB PRT ADP DET ADJ NOUN
if you dial that one this one ought_to ring , ADP PRON ADJ ADP NUM DET NUM NOUN NOUN
my name is funny , DET NOUN VERB ADJ
a board or drawing board , DET NOUN CONJ VERB NOUN
just punch it out , ADV VERB PRON PRT
perhaps one should be down and one should be up , ADV NUM VERB VERB PRT CONJ NUM VERB VERB PRT
let us put this one on , VERB PRON VERB DET NUM ADP
i guess so , PRON VERB ADV
that page is gone , DET NOUN VERB VERB
this is your house , DET VERB DET NOUN
just open the flap and you will see , ADV VERB DET NOUN CONJ PRON VERB VERB
just the way you put the track on look , ADV DET NOUN PRON VERB DET NOUN PRT VERB
they might spill like that , PRON VERB NOUN ADP DET
look at it carefully , VERB ADP PRON ADV
that is a rhinoceros , PRON VERB DET NOUN
put yours on , VERB PRON ADP
i like it so i had like to paint on it , PRON VERB PRON ADP PRON VERB ADP PRT VERB ADP PRON
it is hard , PRON VERB ADJ
it fell apart again , PRON VERB ADV ADV
it is a very long wire , PRON VERB DET ADV ADJ NOUN
it says gobble gobble gobble , PRON VERB ADJ ADJ ADJ
let us move it over so we have more room , VERB PRON VERB PRON PRT ADP PRON VERB ADJ NOUN
look and see , VERB CONJ VERB
we went swimming nearly every day , PRON VERB VERB ADV DET NOUN
so_that they will grow , DET PRON VERB VERB
i will punch some of it , PRON VERB VERB DET ADP PRON
i do not want any butter that might fall off the truck , PRON VERB ADV VERB DET NOUN PRON VERB VERB PRT DET NOUN
you can draw on the board , PRON VERB VERB ADP DET NOUN
paul douglas get off those books , NOUN NOUN VERB PRT DET NOUN
it is jelly or jam , PRON VERB ADV CONJ NOUN
maybe we should set this , ADV PRON VERB VERB DET
that is the name of the toy , PRON VERB DET NOUN ADP DET NOUN
seals and fish , NOUN CONJ NOUN
you have got the two dozen eggs on properly , PRON VERB VERB DET NUM NOUN NOUN ADP ADV
because it does not have a motor , ADP PRON VERB ADV VERB DET NOUN
shadow_gay riding a pony , NOUN VERB DET NOUN
that is a jug , PRON VERB DET NOUN
that is a k , PRON VERB DET NOUN
this is one of your tinker toys , DET VERB NUM ADP DET NOUN NOUN
a bowl of ice+cream , DET NOUN ADP NOUN
let us see if it still stands up , VERB PRON VERB ADP PRON ADV VERB PRT
you are silly , PRON VERB ADV
they are on properly , PRON VERB ADP ADV
if you say so , ADP PRON VERB ADV
they wo not fall off and break , PRON VERB ADV VERB PRT CONJ VERB
do not want to show him , VERB ADV VERB PRT VERB PRON
perhaps she knows , ADV PRON VERB
i like to bake cakes and cookies and i need butter , PRON VERB PRT VERB NOUN CONJ NOUN CONJ PRON VERB NOUN
hop on pop , NOUN ADP NOUN
let him play it too , VERB PRON VERB PRON ADV
except i think it is supposed to be at your ear , ADP PRON VERB PRON VERB VERB PRT VERB ADP DET NOUN
you buy them from the grocery store , PRON VERB PRON ADP DET NOUN NOUN
and i like to have toast and butter for breakfast , CONJ PRON VERB PRT VERB NOUN CONJ NOUN ADP NOUN
i will get you some water , PRON VERB VERB PRON DET NOUN
here is another one , ADV VERB DET NUM
perhaps he just popped out , ADV PRON ADV VERB PRT
adam maybe your fire engine will stay on better , NOUN ADV DET NOUN NOUN VERB VERB ADP ADJ
k is for kittens , PRT VERB ADP NOUN
this is the landing wheel , DET VERB DET NOUN NOUN
i do not think that is ever going to stay on , PRON VERB ADV VERB PRON VERB ADV VERB PRT VERB PRT
after you get up in the air it fold back , ADP PRON VERB PRT ADP DET NOUN PRON VERB ADV
good for you adam , ADJ ADP PRON NOUN
you have so many pencils , PRON VERB ADV ADJ NOUN
just my two pounds of butter , ADV DET NUM NOUN ADP NOUN
ice+cream for boys and girls , NOUN ADP NOUN CONJ NOUN
there are so many , PRT VERB ADV ADJ
in the airplane , ADP DET NOUN
now pull it up , ADV VERB PRON PRT
here are two , ADV VERB NUM
maybe you could tie it on , ADV PRON VERB VERB PRON ADP
it is a lobster , PRON VERB DET NOUN
here is another one paul , ADV VERB DET NUM NOUN
go in the airplane , VERB ADP DET NOUN
i do not know mr milkman , PRON VERB ADV VERB NOUN NOUN
i do not know , PRON VERB ADV VERB
i am not sure you can put them back , PRON VERB ADV ADJ PRON VERB VERB PRON ADV
i might have_to get another milkman , PRON VERB NOUN VERB DET NOUN
it looks like an x , PRON VERB ADP DET NOUN
i guess it is misplaced , PRON VERB PRON VERB VERB
somebody was laughing , NOUN VERB VERB
they do not fit on that set , PRON VERB ADV VERB ADP DET NOUN
it must be lost , PRON VERB VERB VERB
i do not think he can go in the airplane , PRON VERB ADV VERB PRON VERB VERB ADP DET NOUN
you lost my butter on the street , PRON VERB DET NOUN ADP DET NOUN
here is your pencil , ADV VERB DET NOUN
a witch you thought , DET NOUN PRON VERB
just a tiny part of the petal , ADV DET ADJ NOUN ADP DET ADJ
adam take out a few at a time , NOUN VERB ADP DET ADJ ADP DET NOUN
i do not think that is a turtle , PRON VERB ADV VERB PRON VERB DET NOUN
she is knitting , PRON VERB VERB
he wants his car honey , PRON VERB DET NOUN NOUN
i would not laugh about that , PRON VERB ADV VERB ADP DET
you just kid me all the time , PRON ADV NOUN PRON PRT DET NOUN
you lost your footie ballie , PRON VERB DET NOUN NOUN
that is a lobster , PRON VERB DET NOUN
they are too heavy , PRON VERB ADV ADJ
i have never seen a kangaroo knit either , PRON VERB ADV VERB DET NOUN VERB CONJ
he was playing with this one , PRON VERB VERB ADP DET NUM
that is a lizard , PRON VERB DET NOUN
i like apples , PRON VERB NOUN
perhaps it would stand up too , ADV PRON VERB VERB PRT ADV
put it on your middle finger , VERB PRON ADP DET ADJ NOUN
you did not have any car , PRON VERB ADV VERB DET NOUN
the other way , DET ADJ NOUN
i am hiding adam , PRON VERB VERB NOUN
they can not carry you anyplace , PRON VERB ADV VERB PRON VERB
you are a donkey pulling a wagon , PRON VERB DET NOUN VERB DET NOUN
i think over , PRON VERB PRT
i am sure we can find a car in here , PRON VERB ADJ PRON VERB VERB DET NOUN ADP ADV
l is for leaping ladies and leopards , PRT VERB ADP VERB NOUN CONJ NOUN
cookies and grapefruit , NOUN CONJ NOUN
i would not know , PRON VERB ADV VERB
let us do this page first , VERB PRON VERB DET NOUN ADV
you hit his finger , PRON VERB DET NOUN
because it is easier to do i think , ADP PRON VERB ADJ PRT VERB PRON VERB
i think you hit his finger , PRON VERB PRON VERB DET NOUN
in_case you need it , VERB PRON VERB PRON
it is in the drawer , PRON VERB ADP DET NOUN
because i am going to put the door on , ADP PRON VERB VERB PRT VERB DET NOUN ADP
do not do that anymore , VERB ADV VERB DET NOUN
he is sleeping down in his bed , PRON VERB VERB PRT ADP DET NOUN
you are guessing , PRON VERB VERB
she wets my hair , PRON VERB DET NOUN
with a merry+go+round , ADP DET NOUN
those are nickels , DET VERB NOUN
i need lots_of milk adam , PRON VERB ADJ NOUN NOUN
push one up , VERB NUM PRT
i do not see the puzzle , PRON VERB ADV VERB DET NOUN
turn your paddle over , VERB DET NOUN PRT
i do not hear paul , PRON VERB ADV VERB NOUN
i hope it does not come out , PRON VERB PRON VERB ADV VERB PRT
because those are pretty colors , ADP DET VERB ADJ NOUN
it is a mermaid , PRON VERB DET ADJ
so they wo not fall out , ADP PRON VERB ADV VERB PRT
see if you can hit it again , VERB ADP PRON VERB VERB PRON ADV
do not do that , VERB ADV VERB PRON
i guess he was new at the job , PRON VERB PRON VERB ADJ ADP DET NOUN
talking i suppose , VERB PRON VERB
tangle means put it back like it was , ADJ NOUN VERB PRON ADV ADP PRON VERB
that is her tail , PRON VERB DET NOUN
i do not think so , PRON VERB ADV VERB ADV
you might break it , PRON VERB VERB PRON
let us have marbles , VERB PRON VERB NOUN
it is not a real airplane , PRON VERB ADV DET ADJ NOUN
you have one of those , PRON VERB NUM ADP DET
he is giving you the other one , PRON VERB VERB PRON DET ADJ NUM
then i will be happy for two of them , ADV PRON VERB VERB ADJ ADP NUM ADP PRON
that is nut , PRON VERB NOUN
you should have three up , PRON VERB VERB NUM PRT
that is a very long number , PRON VERB DET ADV ADJ NOUN
he did not really knock it down , PRON VERB ADV ADV VERB PRON PRT
this is your mixing bowl , DET VERB DET VERB NOUN
just a minute sir , ADV DET ADJ NOUN
i can not look for dese sticking out , PRON VERB ADV VERB ADP DET VERB PRT
do not do that , VERB ADV VERB PRON
i do not know , PRON VERB ADV VERB
paul would like that , NOUN VERB ADP DET
not three more , ADV NUM ADJ
let us see , VERB PRON VERB
you might hurt yourself , PRON VERB VERB PRON
you put yours on , PRON VERB PRON ADP
the drum is out there , DET NOUN VERB PRT PRT
make it look like that one , VERB PRON VERB ADP DET NUM
because the knots came out , ADP DET NOUN VERB PRT
there is not a puzzle this morning , PRT VERB ADV DET NOUN DET NOUN
he likes to ride in the lake , PRON VERB PRT VERB ADP DET NOUN
you can not sit on paul dear , PRON VERB ADV VERB ADP NOUN ADJ
it is a q , PRON VERB DET NOUN
because the knots in the string came out , ADP DET NOUN ADP DET NOUN VERB PRT
he is not quite big enough yet , PRON VERB ADV ADV ADJ ADV ADV
you saw one on television this morning , PRON VERB NUM ADP NOUN DET NOUN
i do not know , PRON VERB ADV VERB
let us do the puzzle , VERB PRON VERB DET NOUN
i think you have got one too many , PRON VERB PRON VERB VERB NUM ADV ADJ
you get it , PRON VERB PRON
i tied some knots in the string and they came out , PRON VERB DET NOUN ADP DET NOUN CONJ PRON VERB PRT
you rolled it over there , PRON VERB PRON ADP PRT
you have finished , PRON VERB VERB
that you just put in , ADP PRON ADV VERB ADP
i do not know , PRON VERB ADV VERB
in the water this morning , ADP DET NOUN DET NOUN
they just left this , PRON ADV VERB DET
it is just not in here , PRON VERB ADV ADV ADP ADV
maybe on another page you will use the other ones , ADV ADP DET NOUN PRON VERB VERB DET ADJ NOUN
this is a q with the little thing sticking out , DET VERB DET NOUN ADP DET ADJ NOUN VERB PRT
one two three four , NUM NUM NUM NUM
it is just lost , PRON VERB ADV VERB
that is a nurse , PRON VERB DET NOUN
they did not take this off , PRON VERB ADV VERB DET PRT
n is for nurse , PRT VERB ADP NOUN
i am not mad at you , PRON VERB ADV ADJ ADP PRON
put it back , VERB PRON ADV
let us see , VERB PRON VERB
perhaps they are just taking their nap in a nest , ADV PRON VERB ADV VERB DET NOUN ADP DET NOUN
one two three four five , NUM NUM NUM NUM NUM
once upon a time , ADV ADP DET NOUN
you come and look adam , PRON VERB CONJ VERB NOUN
paul adam say it is your turn , NOUN NOUN VERB PRON VERB DET NOUN
that is a plug an ear+phone plug , PRON VERB DET NOUN DET NOUN NOUN
o is for opera , PRT VERB ADP NOUN
then wind it up again , ADV VERB PRON PRT ADV
we can not hear you with your fingers in your mouth , PRON VERB ADV VERB PRON ADP DET NOUN ADP DET NOUN
that is just something extra , PRON VERB ADV NOUN ADJ
you take paul turn because he can not do that , PRON VERB NOUN VERB ADP PRON VERB ADV VERB PRON
come and look , VERB CONJ VERB
i am putting this in there , PRON VERB VERB DET ADP PRT
you hold the key , PRON VERB DET NOUN
i do not know , PRON VERB ADV VERB
i am watching , PRON VERB VERB
i do not think anything did , PRON VERB ADV VERB NOUN VERB
you will have_to ask ursula , PRON VERB NOUN VERB NOUN
count each one only once , VERB DET NUM ADV ADV
i think you could , PRON VERB PRON VERB
that was a nice story , PRON VERB DET ADJ NOUN
pull the string up , VERB DET NOUN PRT
you could use another one , PRON VERB VERB DET NUM
you were born with lips , PRON VERB VERB ADP NOUN
it sounded like part of red riding hood and somebody else , PRON VERB ADP NOUN ADP ADJ NOUN NOUN CONJ NOUN ADV
count this one , VERB DET NUM
you are sitting on a quart of milk , PRON VERB VERB ADP DET NOUN ADP NOUN
she can not see it , PRON VERB ADV VERB PRON
do not run over paul , VERB ADV VERB ADP NOUN
two three four five six , NUM NUM NUM NUM NUM
it is an orchid , PRON VERB DET ADJ
mr owl and mrs ostrich , NOUN NOUN CONJ NOUN NOUN
you can take the fire truck out , PRON VERB VERB DET NOUN NOUN PRT
a pound of butter and a dozen eggs over there , DET NOUN ADP NOUN CONJ DET NOUN NOUN ADP PRT
and they are watching othello , CONJ PRON VERB VERB NOUN
there are lots_of blocks in the basket , PRT VERB ADJ NOUN ADP DET NOUN
hercules the fire engine , NOUN DET NOUN NOUN
a b c , DET X X
maybe you just have_to push it on adam , ADV PRON ADV ADV VERB PRON ADP NOUN
it is an opera , PRON VERB DET NOUN
this is six over here , DET VERB NUM ADP ADV
you stay down here , PRON VERB PRT ADV
make it look like that , VERB PRON VERB ADP DET
you knocked my glasses off , PRON VERB DET NOUN PRT
you hit the side of the chair , PRON VERB DET NOUN ADP DET NOUN
because he likes to put things in his mouth , ADP PRON VERB PRT VERB NOUN ADP DET NOUN
a chatty doll , DET ADJ NOUN
make it look like that , VERB PRON VERB ADP DET
these are houses , DET VERB NOUN
i did not think you had notice , PRON VERB ADV VERB PRON VERB NOUN
you do not throw blocks you know , PRON VERB ADV VERB NOUN PRON VERB
you mean a stethoscope , PRON VERB DET NOUN
p is for parasol , NOUN VERB ADP NOUN
a bulldozer does not fly , DET NOUN VERB ADV ADV
i think paul would like to see you , PRON VERB NOUN VERB ADP PRT VERB PRON
like a doctor has , ADP DET NOUN VERB
it does not have any wings , PRON VERB ADV VERB DET NOUN
your automatic rifle , DET ADJ NOUN
you may make them ski just two at a time , PRON VERB VERB PRON VERB ADV NUM ADP DET NOUN
let us see if i hear something , VERB PRON VERB ADP PRON VERB NOUN
i had like one quart of milk , PRON VERB ADP NUM NOUN ADP NOUN
i do not know , PRON VERB ADV VERB
i heard a little click , PRON VERB DET ADJ NOUN
i knew you did not know , PRON VERB PRON VERB ADV VERB
you have_to go get some from the basket , PRON ADV VERB VERB DET ADP DET NOUN
and a dozen eggs , CONJ DET NOUN NOUN
paul stand up , NOUN VERB PRT
one dozen eggs , NUM NOUN NOUN
adam wants ursula to see if you can walk , NOUN VERB NOUN PRT VERB ADP PRON VERB VERB
i think one did break in cambridge , PRON VERB NUM VERB VERB ADP NOUN
go fill this box with blocks , VERB VERB DET NOUN ADP NOUN
i was walking rocking on your leg , PRON VERB VERB VERB ADP DET NOUN
here is another one , ADV VERB DET NUM
you may break it and it is paul , PRON VERB VERB PRON CONJ PRON VERB NOUN
it does not need to have a top , PRON VERB ADV VERB PRT VERB DET NOUN
did was it be a comb , VERB VERB PRON VERB DET NOUN
now all the shiny cars in a line , ADV PRT DET ADJ NOUN ADP DET NOUN
try to get your room straightened out , VERB PRT VERB DET NOUN VERB PRT
let paul have that one with the light , VERB NOUN VERB ADP NUM ADP DET NOUN
that is a light , PRON VERB DET NOUN
because you will be careful , ADP PRON VERB VERB ADJ
i do not know , PRON VERB ADV VERB
you took them all down , PRON VERB PRON PRT PRT
you are not big enough to play that game , PRON VERB ADV ADJ ADJ PRT VERB DET NOUN
you could try it that way , PRON VERB VERB PRON ADP NOUN
maybe we can attach it to two chairs , ADV PRON VERB VERB PRON ADP NUM NOUN
shall i tie it from here to here , VERB PRON VERB PRON ADP ADV PRT ADV
let us try it again , VERB PRON VERB PRON ADV
you will so , PRON VERB ADV
adam do not break it dear , NOUN VERB ADV VERB PRON VERB
i think you do , PRON VERB PRON VERB
i do not think it has a top , PRON VERB ADV VERB PRON VERB DET NOUN
she is married to a king , PRON VERB VERB ADP DET NOUN
because it is not yours , ADP PRON VERB ADV PRON
yeah it is a lady , ADV PRON VERB DET NOUN
that is only one car , PRON VERB ADV NUM NOUN
it is your turn , PRON VERB DET NOUN
maybe ursula uses that , ADV NOUN VERB PRON
those are not letters those are numbers , DET VERB ADV VERB DET VERB NOUN
wait a minute , VERB DET NOUN
i found a penny on the floor , PRON VERB DET NOUN ADP DET NOUN
there is a quart of milk , PRT VERB DET NOUN ADP NOUN
to write letters , PRT VERB NOUN
you paste them together , PRON VERB PRON ADV
close it up , ADV PRON PRT
you could use it , PRON VERB VERB PRON
over over on the sewing machine , ADP PRT ADP DET VERB NOUN
you are too big , PRON VERB ADV ADJ
you can make a bracelet with paper clips , PRON VERB VERB DET NOUN ADP NOUN NOUN
let us find a king , VERB PRON VERB DET NOUN
she said you may use it , PRON VERB PRON VERB VERB PRON
that was long ago , PRON VERB ADV ADV
do not do that , VERB ADV VERB PRON
q is for quintuplets quilt , PRT VERB ADP NOUN VERB
i do not suppose he can catch it , PRON VERB ADV VERB PRON VERB VERB PRON
you will hurt him , PRON VERB VERB PRON
there is a horse for the ballerina , PRT VERB DET NOUN ADP DET NOUN
you make part of it too , PRON VERB NOUN ADP PRON ADV
i think not , PRON VERB ADV
because he is small , ADP PRON VERB ADJ
you need a pencil , PRON VERB DET NOUN
do not knock me , VERB ADV VERB PRON
i will bring some handkerchiefs , PRON VERB VERB DET NOUN
let us hang some kleenex up , VERB PRON VERB DET NOUN PRT
it almost shot the wall , PRON ADV VERB DET NOUN
you have_to sharpen it first , PRON ADV VERB PRON ADV
you hold him down here and squeeze and it makes him jump , PRON VERB PRON PRT ADV CONJ NOUN CONJ PRON VERB PRON VERB
you are all wound up like a snake too , PRON VERB PRT VERB PRT ADP DET NOUN ADV
we have not done this page , PRON VERB ADV VERB DET NOUN
two pounds of butter , NUM NOUN ADP NOUN
put the wheels on the train , VERB DET NOUN ADP DET NOUN
fishes swimming count all ten , VERB VERB VERB PRT NUM
these are the fish , DET VERB DET NOUN
he has feathers , PRON VERB NOUN
you squeeze and then let go , PRON VERB CONJ ADV VERB VERB
if he falls like that he will lose some of his feathers , ADP PRON VERB ADP ADP PRON VERB VERB DET ADP DET NOUN
on the pencil , ADP DET NOUN
let that be the door , VERB PRON VERB DET NOUN
the point is the part of the pencil that you write with , DET NOUN VERB DET NOUN ADP DET NOUN ADP PRON VERB ADP
except you are sliding in my trash , ADP PRON VERB VERB ADP DET NOUN
that would be very funny adam , PRON VERB VERB ADV ADJ NOUN
there is one behind it , PRT VERB NUM ADP PRON
the same thing that you said , DET ADJ NOUN ADP PRON VERB
that is a good idea , PRON VERB DET ADJ NOUN
while you are doing that i will take paul , ADP PRON VERB VERB ADP PRON VERB VERB NOUN
here is another one , ADV VERB DET NUM
r is for restaurant , PRT VERB ADP NOUN
that is a good idea adam , PRON VERB DET ADJ NOUN NOUN
that is for that one , PRON VERB ADP DET NUM
because that is the way a snake has_to move , ADP PRON VERB DET NOUN DET NOUN NOUN VERB
it took robin a long time adam , PRON VERB NOUN DET ADJ NOUN NOUN
i can understand myself , PRON VERB VERB PRON
two quarts of milk , NUM NOUN ADP NOUN
he winds himself up and he straightens out , PRON VERB PRON PRT CONJ PRON VERB PRT
i hope so , PRON VERB ADV
that is a nice white wash , PRON VERB DET ADJ ADJ NOUN
count them before they run away , VERB PRON ADP PRON VERB ADV
you can not just use one hand , PRON VERB ADV ADV VERB NUM NOUN
two quarts of milk , NUM NOUN ADP NOUN
you have_to use two , PRON ADV VERB NUM
because he is holding on by his hands , ADP PRON VERB VERB ADP ADP DET NOUN
that is just a shell , PRON VERB ADV DET NOUN
there we are , ADV PRON VERB
he has just one baby , PRON VERB ADV NUM NOUN
it is shaped like a snail , PRON VERB VERB ADP DET NOUN
i will have the green one , PRON VERB VERB DET ADJ NUM
that cecelia gave him , DET NOUN VERB PRON
fill it all up , VERB PRON PRT PRT
he is bringing it out and putting it on the table , PRON VERB VERB PRON PRT CONJ VERB PRON ADP DET NOUN
and he gave his mother his milk , CONJ PRON VERB DET NOUN DET NOUN
now fill up this part too , ADV VERB PRT DET NOUN ADV
move the tricycle over here out_of the way , VERB DET NOUN PRT ADV ADP DET NOUN
i am waiting for you to put the other door hinge on , PRON VERB VERB ADP PRON PRT VERB DET ADJ NOUN NOUN ADP
if he is not a snapping turtle , ADP PRON VERB ADV DET VERB NOUN
now do the edge , ADV VERB DET NOUN
an elephant in a train , DET NOUN ADP DET NOUN
you throw it , PRON VERB PRON
you have_to look and see , PRON ADV VERB CONJ VERB
i think you have just one car , PRON VERB PRON VERB ADV NUM NOUN
i do not know about that , PRON VERB ADV VERB ADP DET
there it is , ADV PRON VERB
you play over her , PRON VERB ADP PRON
i guess if you wanted to , PRON VERB ADP PRON VERB PRT
you have two kitchens , PRON VERB NUM NOUN
he is writing your order down with it , PRON VERB VERB DET NOUN PRT ADP PRON
you throw first , PRON VERB ADJ
adam we forgot to bring that flag home from nursery school , NOUN PRON VERB PRT VERB DET NOUN NOUN ADP NOUN NOUN
here is a turntable you have not even put on yet , ADV VERB DET ADJ PRON VERB ADV ADV VERB ADP ADV
pull it out and see , VERB PRON PRT CONJ VERB
there is a number one , PRT VERB DET NOUN NUM
twenty homes are here in this town , NUM NOUN VERB ADV ADP DET NOUN
because you are talking and i could not understand you , ADP PRON VERB VERB CONJ PRON VERB ADV VERB PRON
so he can come very fast , ADP PRON VERB VERB ADV ADJ
he knocked the pig off and ran over the goat , PRON VERB DET NOUN PRT CONJ VERB ADP DET NOUN
that is a number two , PRON VERB DET NOUN NUM
two red counters up all green counters down , NUM ADJ NOUN PRT PRT ADJ NOUN PRT
just like captain_kangaroo ballerina , ADV ADP NOUN NOUN
you look like a chinese princess , PRON VERB ADP DET ADJ NOUN
you do not do that , PRON VERB ADV VERB PRON
i think paul wants one adam , PRON VERB NOUN VERB NUM NOUN
that is green , PRON VERB ADJ
he is a dangerous driver , PRON VERB DET ADJ NOUN
you have_to turn it , PRON ADV VERB PRON
you have eighteen there , PRON VERB NUM ADV
all of them , PRT ADP PRON
a blonde wig , DET ADJ NOUN
i think she , PRON VERB PRON
i just put some out here , PRON ADV VERB DET PRT ADV
bring the box , VERB DET NOUN
you let the marbles drive , PRON VERB DET NOUN NOUN
eighteen sheep inside the gate , NUM NOUN ADP DET NOUN
you stand up with some legs , PRON VERB PRT ADP DET NOUN
it is a wig , PRON VERB DET NOUN
