those are checkers , DET AUX NOUN
you are not big enough to play the game Adam says , PRON AUX PART ADJ ADV PART VERB DET NOUN PROPN VERB
you have got that train , PRON AUX VERB DET NOUN
careful Adam do not get on his fingers , ADJ PROPN AUX PART VERB ADP PRON NOUN
he does not have one yet , PRON AUX PART VERB NUM ADV
let it rest on your head like that , VERB PRON VERB ADP PRON NOUN ADP DET
look at it again , VERB ADP PRON ADV
like a water moving machine , ADP DET NOUN VERB NOUN
I do not think that is sixty four , PRON AUX PART VERB DET AUX NUM NUM
that is only two wheels , DET AUX ADV NUM NOUN
now we are all finished , ADV PRON AUX ADV VERB
xxx broken finger , DET ADJ NOUN
one two three , NUM NUM NUM
we have_to ask permission first , PRON PROPN VERB NOUN ADV
your shirt and pants do not meet , PRON NOUN CCONJ NOUN AUX PART VERB
you do it by yourself this time , PRON VERB PRON ADP PRON DET NOUN
now you blow through the hole , ADV PRON VERB ADP DET NOUN
some little screws in , DET ADJ NOUN ADP
they wo not fit either , PRON AUX PART VERB ADV
dirty dirty fingers , ADJ ADJ NOUN
I am sorry , PRON AUX ADJ
maybe we need a new page , ADV PRON VERB DET ADJ NOUN
I was just happy because you were doing such a good job , PRON AUX ADV ADJ SCONJ PRON AUX VERB DET DET ADJ NOUN
in the binoculars , ADP DET NOUN
he does not want to throw , PRON AUX PART VERB PART VERB
she is handing you something , PRON AUX VERB PRON PRON
you said it was an a upsidedown , PRON VERB PRON AUX DET DET NOUN
I will throw it for him , PRON AUX VERB PRON ADP PRON
you may break the crayons dear , PRON AUX VERB DET NOUN ADJ
I do not really know that they are screws , PRON AUX PART ADV VERB SCONJ PRON AUX NOUN
I do not know , PRON AUX PART VERB
that is the way he fights , DET AUX DET NOUN PRON VERB
however it is put together , ADV PRON AUX VERB ADV
just put your mouth on there a little , ADV VERB PRON NOUN ADP PRON DET ADJ
that is the way he has_to get his food , DET AUX DET NOUN PRON AUX VERB PRON NOUN
I do not think you need to take it apart , PRON AUX PART VERB PRON VERB PART VERB PRON ADV
do not cover the hole , AUX PART VERB DET NOUN
one more we need , NUM ADJ PRON VERB
do not do that Adam , AUX PART VERB DET PROPN
so_that he wo not forget , INTJ PRON AUX PART VERB
if he is in a cage , SCONJ PRON AUX ADP DET NOUN
he said a toaster , PRON VERB DET NOUN
it was a v , PRON AUX DET NOUN
you can make designs with them , PRON AUX VERB NOUN ADP PRON
I do not think they will go in there , PRON AUX PART VERB PRON AUX VERB ADV ADV
because it might run over some of the animals , SCONJ PRON AUX VERB ADP DET ADP DET NOUN
perhaps his Mother bought them for him , ADV PRON PROPN VERB PRON ADP PRON
there are so many , PRON AUX ADV ADJ
there it is , ADV PRON AUX
let him look honey , VERB PRON VERB NOUN
here it is , ADV PRON AUX
Adam you are silly , PROPN PRON AUX ADJ
there is h , PRON AUX NOUN
it might hurt the animals because the tractor so big , PRON AUX VERB DET NOUN SCONJ DET NOUN ADV ADJ
up here on your dresser , ADV ADV ADP PRON NOUN
he thinks he is grown a little , PRON VERB PRON AUX VERB DET ADJ
there is an h , PRON AUX DET NOUN
Adam was going to bed and he saw it , PROPN AUX VERB ADP NOUN CCONJ PRON VERB PRON
I need a new one , PRON VERB DET ADJ NOUN
blow very gently , VERB ADV ADV
I was just doing this , PRON AUX ADV VERB DET
I will wipe it off , PRON AUX VERB PRON ADP
you almost did , PRON ADV VERB
look at that little boy in the mirror crying , VERB ADP DET ADJ NOUN ADP DET NOUN VERB
because they are just babies , SCONJ PRON AUX ADV NOUN
this one does not look like all the others , DET NOUN AUX PART VERB ADP DET DET NOUN
a little one , DET ADJ NUM
it would not fit me , PRON AUX PART VERB PRON
just like me , ADV ADP PRON
I usually sit there , PRON ADV VERB ADV
I am a little too big , PRON AUX DET ADJ ADV ADJ
come away Paul , VERB ADV PROPN
looking at the little boy , VERB ADP DET ADJ NOUN
a real bird , DET ADJ NOUN
it looks the same , PRON VERB DET ADJ
let us do number nine , VERB PRON VERB NOUN NUM
put it back up there , VERB PRON ADV ADV ADV
take it off , VERB PRON ADP
you can put them in all different directions , PRON AUX VERB PRON ADP DET ADJ NOUN
if you blow gently I think you will get more , SCONJ PRON VERB ADV PRON VERB PRON AUX VERB ADJ
I see it , PRON VERB PRON
careful do not put those letters under there honey , ADJ AUX PART VERB DET NOUN ADP ADV NOUN
you may break that , PRON AUX VERB DET
hold it down with one hand and pull it with the other , VERB PRON ADP ADP NUM NOUN CCONJ VERB PRON ADP DET ADJ
always squeeze from the bottom , ADV VERB ADP DET NOUN
do not put it in your mouth , AUX PART VERB PRON ADP PRON NOUN
put it up on the dresser , VERB PRON ADP ADP DET NOUN
your Mother did , PRON PROPN VERB
in the mirror , ADP DET NOUN
Paul is playing with the trailer because you had the barn , PROPN AUX VERB ADP DET NOUN SCONJ PRON VERB DET NOUN
you do not need to throw your arms up to blow , PRON AUX PART VERB PART VERB PRON NOUN ADP PART VERB
it is a part of the police car , PRON AUX DET NOUN ADP DET NOUN NOUN
I think they say the face , PRON VERB PRON VERB DET NOUN
it is a movie camera , PRON AUX DET NOUN NOUN
I suppose that could be here , PRON VERB DET AUX VERB ADV
I need three quarts , PRON VERB NUM NOUN
you did not miss , PRON AUX PART VERB
a movie camera , DET NOUN NOUN
shake all your keys inside and then just push down the snap , VERB DET PRON NOUN ADV CCONJ ADV ADV VERB ADP DET NOUN
it is a nice kitchen , PRON AUX DET ADJ NOUN
mine had a hole in it , NOUN VERB DET NOUN ADP PRON
I do not know , PRON AUX PART VERB
Paul he is looking out the window , PROPN PRON AUX VERB SCONJ DET NOUN
I do not know , PRON AUX PART VERB
I did not see you , PRON AUX PART VERB PRON
remember in your book , VERB ADP PRON NOUN
that is enough being silly , DET AUX ADJ VERB ADJ
sometimes they catch them and eat them , ADV PRON VERB PRON CCONJ VERB PRON
this way it is not , DET NOUN PRON AUX PART
that is not three , DET AUX PART NUM
I think it is Chinese , PRON VERB PRON AUX ADJ
I may look at them in the kitchen , PRON AUX VERB ADP PRON ADP DET NOUN
I should think you could find a parking space almost any place , PRON AUX VERB PRON AUX VERB DET NOUN NOUN ADV DET NOUN
that was an accident , DET AUX DET NOUN
to the door , ADP DET NOUN
if you want to , SCONJ PRON VERB PART
he was talking about President Kennedy , PRON AUX VERB ADP PROPN PROPN
you will have_to grow a little , PRON AUX PROPN VERB DET ADJ
here is some more , ADV AUX DET ADV
I need another milk thank_you , PRON VERB DET NOUN PRON
story about George Washington , NOUN ADP PROPN PROPN
put it on , VERB PRON ADP
more rubber bands there , ADJ NOUN NOUN ADV
here is a little hole , ADV AUX DET ADJ NOUN
whoever read that story to you , PRON VERB DET NOUN ADP PRON
I am finished with this one , PRON AUX VERB ADP DET NOUN
because we could not find the key to fit it , SCONJ PRON AUX PART VERB DET NOUN PART VERB PRON
let me find a mirror so you can look at yourself , VERB PRON VERB DET NOUN SCONJ PRON AUX VERB ADP PRON
you are getting open the whole thing , PRON AUX VERB ADJ DET ADJ NOUN
m is here , AUX AUX ADV
I see something on that picture though , PRON VERB PRON ADP DET NOUN SCONJ
you call it an egg beater , PRON VERB PRON DET NOUN NOUN
you fill that in , PRON VERB DET ADP
blow it up in the air , VERB PRON ADP ADP DET NOUN
you should not have hurt your little hand , PRON AUX PART AUX VERB PRON ADJ NOUN
he can see , PRON AUX VERB
do not put it in your mouth honey , AUX PART VERB PRON ADP PRON NOUN NOUN
Adam I hear something over here talking in your farm yard , PROPN PRON VERB PRON ADP ADV VERB ADP PRON NOUN NOUN
keep your finger down , VERB PRON NOUN ADP
you had like to give Adam one , PRON VERB INTJ PART VERB PROPN NUM
let us have a t , VERB PRON VERB DET NOUN
it is medicine , PRON AUX NOUN
you can do this part , PRON AUX VERB DET NOUN
quack quack quack quack quack , INTJ INTJ INTJ INTJ INTJ
you do not have_to stretch them very far , PRON AUX PART PROPN VERB PRON ADV ADV
she is going to fall in the water , PRON AUX VERB PART VERB ADP DET NOUN
let us have a race , VERB PRON VERB DET NOUN
because it was so pretty , SCONJ PRON AUX ADV ADV
I do not know , PRON AUX PART VERB
turn it the other way , VERB PRON DET ADJ NOUN
do not put it in your mouth honey , AUX PART VERB PRON ADP PRON NOUN NOUN
just a minute , ADV DET NOUN
quack quack quack quack quack quack , INTJ INTJ INTJ INTJ INTJ INTJ
I do not think so , PRON AUX PART VERB ADV
you saw some at the circus , PRON VERB DET ADP DET NOUN
yesterday he said something that sounded like Tallahassee , NOUN PRON VERB PRON DET VERB ADP PROPN
I will get it started , PRON AUX VERB PRON VERB
I think he makes up his own newscasts , PRON VERB PRON VERB ADP PRON ADJ NOUN
designs are different shapes of things , NOUN AUX ADJ NOUN ADP NOUN
they are having a picnic , PRON AUX VERB DET NOUN
quack quack quack quack quack quack , INTJ INTJ INTJ INTJ INTJ INTJ
we had a halloween party , PRON VERB DET NOUN NOUN
mine did too , NOUN VERB ADV
it does not taste good does it , PRON AUX PART VERB ADJ VERB PRON
mine did not , NOUN VERB PART
I do not have any , PRON AUX PART VERB DET
wait my finger caught , VERB PRON NOUN VERB
there were two other ones , PRON AUX NUM ADJ NOUN
not on there , PART ADV ADV
I hear something saying gobble gobble gobble gobble gobble gobble gobble , PRON VERB PRON VERB ADJ ADJ ADJ ADJ ADJ ADJ NOUN
must be broken , AUX AUX VERB
Paul sees that one , PROPN VERB SCONJ NUM
that is Ursula , DET AUX PROPN
it is a cough drop , PRON AUX DET NOUN NOUN
so two people can play , ADV NUM NOUN AUX VERB
you said this was mine , PRON VERB DET AUX NOUN
must be broken because they fell from the truck , AUX AUX VERB SCONJ PRON VERB ADP DET NOUN
your horse is for riding Adam , PRON NOUN AUX ADP VERB PROPN
David had just the same , PROPN VERB ADV DET ADJ
two motor boats , NUM NOUN NOUN
blow gently Adam , VERB ADV PROPN
gobble gobble gobble gobble , ADJ ADJ ADJ NOUN
that is very good tea , DET AUX ADV ADJ NOUN
it is all_gone , PRON AUX PROPN
after the seals leave I am sorry , ADP DET NOUN VERB PRON AUX ADJ
that is so you can put it in your pocket , DET AUX SCONJ PRON AUX VERB PRON ADP PRON NOUN
it is a microscope , PRON AUX DET NOUN
open the whole thing , VERB DET ADJ NOUN
a genie back , DET NOUN ADV
let us see , VERB PRON VERB
I need that though , PRON VERB DET SCONJ
I do not think he will let me , PRON AUX PART VERB PRON AUX VERB PRON
I had so much , PRON VERB ADV ADJ
you help me , PRON VERB PRON
hiss hiss hiss , ADJ NOUN NOUN
I need to write , PRON VERB PART VERB
mine is so much larger than yours , NOUN AUX ADV ADV ADJ SCONJ PRON
thank_you very much , PRON ADV ADV
do not break it anymore dear , AUX PART VERB PRON ADV ADJ
maybe it is in the bag , ADV PRON AUX ADP DET NOUN
here is one over here , ADV AUX NUM ADP ADV
I do not think she really walks , PRON AUX PART VERB PRON ADV VERB
we bug just bug , PRON VERB ADV VERB
I can not see , PRON AUX PART VERB
I do not close it properly I guess , PRON AUX PART VERB PRON ADV PRON VERB
put them around here , VERB PRON ADV ADV
the part that comes out_of the blower , DET NOUN DET VERB PROPN DET NOUN
you just have_to get the paper off , PRON ADV PROPN VERB DET NOUN ADP
a design does not have_to be something , DET NOUN AUX PART PROPN VERB PRON
look at his feet , VERB ADP PRON NOUN
it can just be a shape that you think is pretty , PRON AUX ADV VERB DET NOUN DET PRON VERB AUX ADV
you just heard it , PRON ADV VERB PRON
that was the cat , DET AUX DET NOUN
whales are far far out , NOUN AUX ADV ADV ADV
do not put that so far , AUX PART VERB DET ADV ADV
so his feet wo not get cold , ADV PRON NOUN AUX PART VERB ADJ
you are getting it , PRON AUX VERB PRON
oink oink oink oink , NOUN NOUN NOUN NOUN
I do not think those sound do t , PRON AUX PART VERB DET NOUN VERB NOUN
you will be on the cord , PRON AUX VERB ADP DET NOUN
I think Paul put one on , PRON VERB PROPN VERB NUM ADP
you can use that ball for bowling , PRON AUX VERB DET NOUN ADP NOUN
I do not know , PRON AUX PART VERB
you put water in there , PRON VERB NOUN ADV ADV
Adam I think Mommy broke the dolly , PROPN PRON VERB PROPN VERB DET ADV
you say that is six o'clock , PRON VERB DET AUX NUM NOUN
I like a nice clean backyard , PRON VERB DET ADJ ADJ NOUN
because that is a nice place to go , SCONJ DET AUX DET ADJ NOUN PART VERB
broke the leg off , VERB DET NOUN ADP
he wants to play with you Adam , PRON VERB PART VERB ADP PRON PROPN
I put glue on them , PRON VERB NOUN ADP PRON
they are for you , PRON AUX ADP PRON
lift it up a little while you are pulling , VERB PRON ADP DET ADJ SCONJ PRON AUX VERB
that is the nipple and other is the cover , DET AUX DET NOUN CCONJ ADJ VERB DET NOUN
one day we will get some and make them , NUM NOUN PRON AUX VERB DET CCONJ VERB PRON
he just had a nap , PRON ADV VERB DET NOUN
that looks like a piece of rug to me , DET VERB ADP DET NOUN ADP NOUN ADP PRON
you know like the one Dr Sherry gave you , PRON VERB INTJ DET NUM PROPN PROPN VERB PRON
I am sure it must be on , PRON AUX ADJ PRON AUX VERB ADP
those are all the same colors , DET AUX DET DET ADJ NOUN
maybe it gets stuck on the end , ADV PRON AUX VERB ADP DET NOUN
that will too , DET AUX ADV
he will put it in his mouth , PRON AUX VERB PRON ADP PRON NOUN
that is a rubber band , DET AUX DET NOUN NOUN
put them in the dairy , VERB PRON ADP DET NOUN
that is five minutes after five , DET AUX NUM NOUN ADP NUM
we were doing a train track and then you stopped , PRON AUX VERB DET NOUN NOUN CCONJ ADV PRON VERB
careful you will put a hole in it , ADJ PRON AUX VERB DET NOUN ADP PRON
because that is for a doll , SCONJ DET AUX ADP DET NOUN
do not kick it too hard , AUX PART VERB PRON ADV ADV
maybe that shoelace is not very good Adam , ADV DET NOUN AUX PART ADV ADJ PROPN
there is a little left , PRON AUX DET ADJ ADJ
I do not see a Volkswagen , PRON AUX PART VERB DET NOUN
he is just a little baby , PRON AUX ADV DET ADJ NOUN
that would make a nice hat , DET AUX VERB DET ADJ NOUN
you do have a camera , PRON AUX VERB DET NOUN
you might break something , PRON AUX VERB PRON
she can not hear your head shake , PRON AUX PART VERB PRON NOUN VERB
that is a microscope , DET AUX DET NOUN
that is very good , DET AUX ADV ADJ
if you say so , SCONJ PRON VERB ADV
I do not think you can get it in your pocket , PRON AUX PART VERB PRON AUX VERB PRON ADP PRON NOUN
under your rolling pin , ADP PRON ADJ NOUN
I thought this was a station wagon , PRON VERB DET AUX DET NOUN NOUN
it is a microscope , PRON AUX DET NOUN
you put it together , PRON VERB PRON ADV
you have_to put it back in the bag , PRON PROPN VERB PRON ADV ADP DET NOUN
I will make one if you like , PRON AUX VERB NOUN SCONJ PRON VERB
let us see , VERB PRON VERB
because he went up so high , SCONJ PRON VERB ADP ADV ADJ
he did not play with anything this morning , PRON AUX PART VERB ADP PRON DET NOUN
perhaps they leave the blinking light on too I do not know , ADV PRON VERB DET VERB NOUN ADP ADV PRON AUX PART VERB
he went to sleep this morning , PRON VERB PART VERB DET NOUN
because he likes to , SCONJ PRON VERB PART
I think this is a cake knife , PRON VERB DET AUX DET NOUN NOUN
look through that little hole in the microscope , VERB ADP DET ADJ NOUN ADP DET NOUN
he is just bouncing a little on the seesaw , PRON AUX ADV VERB DET ADJ ADP DET NOUN
now you will have_to pick them up , ADV PRON AUX PROPN VERB PRON ADP
because that is fun , SCONJ DET AUX ADJ
these are germs , DET AUX NOUN
it is a recorder , PRON AUX DET NOUN
he was playing with the cow , PRON AUX VERB ADP DET NOUN
do not catch cold , AUX PART VERB ADJ
dirty water germs , ADJ NOUN NOUN
a water fountain , DET NOUN NOUN
these are germs from dirty hands , DET AUX NOUN ADP ADJ NOUN
there it is , ADV PRON AUX
t is for toast and tea , NOUN AUX ADP NOUN CCONJ NOUN
this is not a knife , DET AUX PART DET NOUN
do not xxx , VERB PART NOUN
playing the banjo , VERB DET NOUN
I put them up last time , PRON VERB PRON ADP ADJ NOUN
it is a fork , PRON AUX DET NOUN
these are fingernail germs , DET AUX ADJ NOUN
he can play two , PRON AUX VERB NUM
this is a real microscope , DET AUX DET ADJ NOUN
those are germs from dirty faces , DET AUX NOUN ADP ADJ NOUN
she turned the direction so she could hear better , PRON VERB DET NOUN SCONJ PRON AUX VERB ADJ
you put them up , PRON VERB PRON ADP
germs from dirty ears , NOUN ADP ADJ NOUN
I do not know , PRON AUX PART VERB
he is telling a story , PRON AUX VERB DET NOUN
it is such a small kitchen , PRON AUX DET DET ADJ NOUN
careful do not push him down honey , ADJ AUX PART VERB PRON ADP NOUN
careful of the cord , ADJ ADP DET NOUN
a cooking set , DET NOUN NOUN
that is the strange odor you smelled , DET AUX DET ADJ NOUN PRON VERB
we need a small mirror , PRON VERB DET ADJ NOUN
you said you have a stove Adam , PRON VERB PRON VERB DET NOUN PROPN
it looks like they are dancing around in a circle , PRON VERB ADP PRON AUX VERB ADP ADP DET NOUN
I will tie your shoes , PRON AUX VERB PRON NOUN
let us put them all in one place to start , VERB PRON VERB PRON DET ADP NUM NOUN PART VERB
do not play with the record , AUX PART VERB ADP DET NOUN
I do not know , PRON AUX PART VERB
put them all in there , VERB PRON DET ADV ADV
shame on you , NOUN ADP PRON
he is growing , PRON AUX VERB
there is one over there behind you , PRON AUX NUM ADV ADV ADP PRON
do not knock on the window Adam , AUX PART VERB ADP DET NOUN PROPN
that is a bag for going to call on people , DET AUX DET NOUN ADP VERB PART VERB ADP NOUN
so they wo not be so stretched , ADV PRON AUX PART AUX ADV VERB
you can move it anywhere you want , PRON AUX VERB PRON ADV PRON VERB
you take that one I will keep this one , PRON VERB DET NOUN PRON AUX VERB DET NOUN
Adam do not push him down honey , PROPN AUX PART VERB PRON ADP NOUN
that is your bunny with the funny name , DET AUX PRON NOUN ADP DET ADJ NOUN
it is stuck on your pants , PRON AUX VERB ADP PRON NOUN
you can change the shape , PRON AUX VERB DET NOUN
I will let it cool , PRON AUX VERB PRON ADJ
you can pretend to be a doctor , PRON AUX VERB PART VERB DET NOUN
a rolling caterpillar , DET ADJ NOUN
you could wear it for a bracelet , PRON AUX VERB PRON ADP DET NOUN
we need something to look at , PRON VERB PRON PART VERB ADP
a snow man , DET NOUN NOUN
I did not finish that one , PRON AUX PART VERB DET NOUN
it is a pan , PRON AUX DET NOUN
we could use a hair , PRON AUX VERB DET NOUN
that dolly was made in Italy , DET ADV AUX VERB ADP PROPN
I will hold it while you put your down , PRON AUX VERB PRON SCONJ PRON VERB PRON ADP
that is question mark and that is a question mark , DET AUX NOUN NOUN CCONJ DET VERB DET NOUN NOUN
for cooking things , ADP VERB NOUN
Paul Adam already has them , PROPN PROPN ADV VERB PRON
because we are going to look at it under a microscope , SCONJ PRON AUX VERB PART VERB ADP PRON ADP DET NOUN
put this back first Adam , VERB DET ADV ADJ PROPN
that is the pan for cooking , DET AUX DET NOUN ADP VERB
not up in the tree , PART ADV ADP DET NOUN
something to drink , PRON PART VERB
because it is a book of riddles , SCONJ PRON AUX DET NOUN ADP NOUN
a frying pan , DET VERB NOUN
let us try one of these , VERB PRON VERB NUM ADP DET
I can not make dose h , PRON AUX PART VERB VERB NOUN
here is a quart of milk over there , ADV AUX DET NOUN ADP NOUN ADV ADV
I thought that was a tuner , PRON VERB DET AUX DET NOUN
you do not have_to make it , PRON AUX PART NOUN VERB PRON
I mean with these , PRON VERB ADP DET
I did not bring him , PRON AUX PART VERB PRON
Adam you did not put your cough drops in , PROPN PRON AUX PART VERB PRON NOUN NOUN ADP
that you are playing , SCONJ PRON AUX VERB
u is for umbrella , NOUN AUX ADP NOUN
he came by himself , PRON VERB ADP PRON
to be sold in the stores , PART AUX VERB ADP DET NOUN
you have_to look , PRON PROPN VERB
sing a song , VERB DET NOUN
he came in through the open door , PRON VERB ADP ADP DET ADJ NOUN
she blew one up , PRON VERB NUM ADP
we need some help , PRON VERB DET NOUN
look on the unicorn head , VERB ADP DET ADJ NOUN
box he says , NOUN PRON VERB
I do not have any sugar , PRON AUX PART VERB DET NOUN
sing a song about a tuner , VERB DET NOUN ADP DET NOUN
let him look at one , VERB PRON VERB ADP NUM
that is very kind of you , DET AUX ADV ADV ADP PRON
they are so smart because they always go around in schools , PRON AUX ADV ADJ SCONJ PRON ADV VERB ADV ADP NOUN
of the unicorn horn , ADP DET ADJ NOUN
I did not know that airplanes had a horn , PRON AUX PART VERB SCONJ NOUN VERB DET NOUN
Paul I do not think she needs your help , PROPN PRON AUX PART VERB PRON VERB PRON NOUN
she knows Ursula , PRON VERB PROPN
you said beep beep , PRON VERB NOUN NOUN
you had an accident , PRON VERB DET NOUN
they are part of rabbit , PRON AUX NOUN ADP NOUN
your train fell off the track , PRON NOUN VERB ADP DET NOUN
I do not know , PRON AUX PART VERB
these go back in Ursula bag , DET VERB ADV ADP PROPN NOUN
they are part of big rabbit , PRON AUX NOUN ADP ADJ NOUN
you have had enough , PRON AUX VERB ADJ
I do not like shooting , PRON AUX PART VERB VERB
you can press the button on that microphone , PRON AUX VERB DET NOUN ADP DET NOUN
I had a visitor , PRON VERB DET NOUN
except for the key case , SCONJ ADP DET ADJ NOUN
these are things you can make , DET AUX NOUN PRON AUX VERB
let us see if we do it this way , VERB PRON VERB SCONJ PRON VERB PRON DET NOUN
that is a tuner for a violin , DET AUX DET NOUN ADP DET NOUN
I do not know , PRON AUX PART VERB
you could keep that , PRON AUX VERB DET
under the sofa , ADP DET NOUN
you have_to take them apart Adam , PRON NOUN VERB PRON ADV PROPN
Jack fell down and broke his crown , PROPN VERB ADP CCONJ VERB PRON NOUN
I do not know , PRON AUX PART VERB
this is a humdinger , DET AUX DET NOUN
that is a pad for washing pans , DET AUX DET NOUN ADP NOUN NOUN
look at that , VERB ADP DET
he comes on on Sunday , PRON VERB ADP ADP PROPN
do not put it so far in your mouth , AUX PART VERB PRON ADV ADV ADP PRON NOUN
you have a broken leg , PRON VERB DET ADJ NOUN
a centipede with sore feet , DET NOUN ADP ADJ NOUN
it is a little hard , PRON AUX DET ADJ ADJ
careful do not break it , ADJ AUX PART VERB PRON
take a guess , VERB DET NOUN
do not pretend like that , AUX PART VERB ADP DET
you can not do that , PRON AUX PART VERB DET
that is enough Adam , DET AUX ADJ PROPN
he can not hold that much , PRON AUX PART VERB ADV ADJ
I have a little printing set , PRON VERB DET ADJ NOUN NOUN
I think there are some old books there that are all torn , PRON VERB PRON AUX DET ADJ NOUN ADV DET VERB DET VERB
you have a street light , PRON VERB DET NOUN NOUN
about a funny dog , ADV DET ADJ NOUN
a chewing boy , DET VERB NOUN
you have_to stop Mr truck driver , PRON PROPN VERB PROPN NOUN NOUN
count them again , VERB PRON ADV
I think I have enough fish now , PRON VERB PRON VERB ADJ NOUN ADV
look at it again , VERB ADP PRON ADV
you did a long long time ago , PRON VERB DET ADJ ADJ NOUN ADV
now put this back in the bag Adam , ADV VERB DET ADP ADP DET NOUN PROPN
I found one that you missed , PRON VERB NOUN DET PRON VERB
w is wedding walrus and whales , ADV AUX NOUN NOUN CCONJ NOUN
here we are Adamy , ADV PRON AUX PROPN
because you are a little boy and little boys break things , SCONJ PRON VERB DET ADJ NOUN CCONJ ADJ NOUN VERB NOUN
there are some more , PRON AUX ADV ADV
a red light , DET ADJ NOUN
it is the ink pad , PRON AUX DET NOUN NOUN
here is one , ADV AUX NUM
you just take little children temperature that way , PRON ADV VERB ADJ NOUN NOUN DET NOUN
it is a box of quackers , PRON AUX DET NOUN ADP NOUN
you may go , PRON AUX VERB
Diandra Paul had that , PROPN PROPN VERB DET
different things different shapes , ADJ NOUN ADJ NOUN
mhm that people bring , INTJ SCONJ NOUN VERB
just leave that in Adam , ADV VERB DET ADP PROPN
I take my temperature in my mouth , PRON VERB PRON NOUN ADP PRON NOUN
because it was in there , SCONJ PRON AUX ADV ADV
I do not know , PRON AUX PART VERB
be very careful with this one , VERB ADV ADJ ADP DET NOUN
you may have it if she says so , PRON AUX VERB PRON SCONJ PRON VERB ADV
turn it over and press it down , VERB PRON ADP CCONJ VERB PRON ADP
make this your stove , VERB DET PRON NOUN
you certainly do talk a lot , PRON ADV AUX VERB DET NOUN
because that is the way to play the game , SCONJ DET AUX DET NOUN PART VERB DET NOUN
I do not know , PRON AUX PART VERB
take your time , VERB PRON NOUN
I think so , PRON VERB ADV
this will be your kitchen , DET AUX VERB PRON NOUN
I will cook them tonight , PRON AUX VERB PRON NOUN
they are there so you can open them , PRON AUX ADV SCONJ PRON AUX VERB PRON
do not throw it dear , AUX PART VERB PRON ADJ
let us see if this is as tall as you are , VERB PRON VERB SCONJ DET AUX ADV ADJ ADP PRON AUX
the center pole is wider on one side , DET ADJ NOUN AUX ADJ ADP NUM NOUN
and the dog got frightened of the big bull and backed out , CCONJ DET NOUN VERB VERB ADP DET ADJ NOUN CCONJ VERB ADP
they are already up , PRON AUX ADV ADV
do not put it in there Adam , AUX PART VERB PRON ADP ADV PROPN
you have_to turn it around so_that it matches , PRON PROPN VERB PRON ADP NOUN PRON VERB
you may forget it , PRON AUX VERB PRON
they are really having a vacation , PRON AUX ADV VERB DET NOUN
she has_to take them back home , PRON AUX VERB PRON ADV ADV
I thought you were going to make some letters , PRON VERB PRON AUX VERB PART VERB DET NOUN
this is an x_ray , DET AUX DET PROPN
this is green , DET AUX ADJ
because you broke it , SCONJ PRON VERB PRON
green like the green light , ADJ ADP DET ADJ NOUN
I have put some up , PRON AUX VERB DET ADP
let him have those Paul , VERB PRON VERB DET PROPN
do not step on the book honey , AUX PART VERB ADP DET NOUN NOUN
you have_to pull it all the way down , PRON PROPN VERB PRON DET DET NOUN ADV
very good Adam , ADV ADJ PROPN
I am waiting Mr Milkman , PRON AUX VERB PROPN PROPN
I am sorry I wrote on you Adam , PRON AUX ADJ PRON VERB ADP PRON PROPN
I can not see cowboy hat , PRON AUX PART VERB NOUN NOUN
I think you have_to look toward the light , PRON VERB PRON PROPN VERB ADP DET NOUN
I will pretend , PRON AUX VERB
I do not think he could really swallow those things , PRON AUX PART VERB PRON AUX ADV VERB DET NOUN
look at that stretching , VERB ADP DET NOUN
you are heavier than Paul , PRON AUX ADJ SCONJ PROPN
let me see , VERB PRON VERB
I do not know , PRON AUX PART VERB
you might hurt him , PRON AUX VERB PRON
here comes Dr Adam , ADV VERB PROPN PROPN
that is just a little story , DET AUX ADV DET ADJ NOUN
we are going to have fish , PRON AUX VERB PART VERB NOUN
he is crying because he lost his dog , PRON AUX VERB SCONJ PRON VERB PRON NOUN
it is a car horn , PRON AUX DET NOUN NOUN
he did not even cry , PRON AUX PART ADV VERB
I had like to see it , PRON VERB INTJ PART VERB PRON
it sounds like the horn is stuck , PRON VERB ADP DET NOUN AUX VERB
you knocked down as many as I did , PRON VERB ADP ADV ADJ ADP PRON VERB
Paul would like to see it , PROPN AUX VERB PART VERB PRON
a funny cartoon , DET ADJ NOUN
you put one out first , PRON VERB NOUN ADV ADV
y is for yaks in your yard , NOUN AUX ADP NOUN ADP PRON NOUN
see if you can put it on top of there , VERB SCONJ PRON AUX VERB PRON ADP NOUN ADP ADV
it is about Hector , PRON AUX ADP NOUN
the stow away pup , DET NOUN ADV NOUN
you have_to match it , PRON PROPN VERB PRON
you had like to cut them , PRON VERB INTJ PART VERB PRON
let Paul see this one , VERB PROPN VERB DET NOUN
I will get some scissors , PRON AUX VERB DET NOUN
you do not need to pull this all the way down , PRON AUX PART VERB PART VERB DET DET DET NOUN ADV
it would not be safe to leave it standing like that , PRON AUX PART VERB ADJ PART VERB PRON VERB ADP DET
let Paul have one , VERB PROPN VERB NUM
he dropped your crayons , PRON VERB PRON NOUN
it may pop , PRON AUX VERB
we need something like a shoelace to spin it , PRON VERB PRON ADP DET NOUN PART VERB PRON
so_that it wo not fall on anybody , VERB PRON AUX PART VERB ADP PRON
that is a Creepy Willy , DET AUX DET PROPN PROPN
Diandra Paul had that , PROPN PROPN VERB DET
some soup and some juice , DET NOUN CCONJ DET NOUN
just a little girl , ADV DET ADJ NOUN
